date,nav_118632,nav_118834,nav_118989,nav_119092,nav_119551,nav_120503,nav_120841,nav_122639,nav_125497
2012-12-31,,,,23.992,,,,,
2013-01-01,,,18.799,23.9979,,,,,
2013-01-02,14.6967,14.105,18.955,24.0036,103.0059,15.0253,,,
2013-01-03,14.7305,14.099,18.973,24.0092,103.0306,15.0737,,,
2013-01-04,14.8037,14.139,18.99,24.0147,103.0619,15.0702,,,
2013-01-05,14.8037,14.139,18.99,24.0147,103.0619,15.0702,,,
2013-01-06,14.8037,14.139,18.99,24.0258,103.0619,15.0702,,,
2013-01-07,14.7718,14.135,19.039,24.0314,103.1408,15.0913,30.6076,,
2013-01-08,14.7197,14.115,19.047,24.0369,103.1663,15.1146,30.6239,,
2013-01-09,14.7249,14.103,19.001,24.0424,103.1897,15.0517,30.6492,,
2013-01-10,14.6784,14.091,18.971,24.0479,103.2132,15.0619,30.6784,,
2013-01-11,14.6421,13.96,18.829,24.0534,103.2385,14.8886,30.6305,,
2013-01-12,14.6421,13.96,18.829,24.0534,103.2385,14.8886,30.6305,,
2013-01-13,14.6421,13.96,18.829,24.0643,103.2385,14.8886,30.6305,,
2013-01-14,14.7844,14.138,18.965,24.0698,103.3225,14.9767,30.6862,,
2013-01-15,14.8315,14.22,19.052,24.0754,102.9223,14.9813,30.6993,,
2013-01-16,14.6876,14.092,18.896,24.0809,102.9421,14.8752,30.6804,,
2013-01-17,14.7703,14.148,18.944,24.0863,102.9691,14.8214,30.6565,,
2013-01-18,14.8654,14.118,18.904,24.0918,102.9932,14.7954,30.658,,
2013-01-19,14.8654,14.118,18.904,24.0918,102.9932,14.7954,30.658,,
2013-01-20,14.8654,14.118,18.904,24.1028,102.9932,14.7954,30.658,,
2013-01-21,14.9285,14.122,18.923,24.1084,103.0662,14.7538,30.6574,,
2013-01-22,14.8574,14.031,18.788,24.1139,103.0909,14.7072,30.6627,,
2013-01-23,14.7986,13.926,18.64,24.1194,103.1145,14.6961,30.6688,,
2013-01-24,14.6226,13.722,18.374,24.1249,103.1411,14.6124,30.6574,,
2013-01-25,14.7605,13.882,18.591,24.1249,103.1411,14.7695,30.6611,,
2013-01-26,14.7605,13.882,18.591,24.1249,103.1411,14.7695,30.6611,,
2013-01-27,14.7605,13.882,18.591,24.1413,103.1411,14.7695,30.6611,,
2013-01-28,14.7737,13.836,18.58,24.1468,103.2351,14.7769,30.6878,,
2013-01-29,14.681,13.822,18.556,24.1522,102.9384,14.7946,30.674,,
2013-01-30,14.6583,13.759,18.472,24.1577,102.959,14.7706,30.6441,,
2013-01-31,14.6179,13.798,18.593,24.1631,102.9778,14.7326,30.6763,,
2013-02-01,14.5671,13.809,18.55,24.1686,102.9976,14.6961,30.7201,,
2013-02-02,14.5671,13.809,18.55,24.1686,102.9976,14.6961,30.7201,,
2013-02-03,14.5671,13.809,18.55,24.1795,102.9976,14.6961,30.7201,,
2013-02-04,14.5479,13.721,18.37,24.1849,103.0659,14.7065,30.7231,,
2013-02-05,14.4313,13.626,18.299,24.1903,103.0886,14.6435,30.6673,,
2013-02-06,14.4775,13.63,18.287,24.1959,103.1119,14.7026,30.7067,,
2013-02-07,14.4048,13.525,18.163,24.2013,103.1356,14.6822,30.6882,,
2013-02-08,14.3212,13.474,18.1,24.2067,103.1594,14.6145,30.6813,,
2013-02-09,14.3212,13.474,18.1,24.2067,103.1594,14.6145,30.6813,,
2013-02-10,14.3212,13.474,18.1,24.2174,103.1594,14.6145,30.6813,,
2013-02-11,14.2908,13.452,18.116,24.223,103.2303,14.5489,30.5643,,
2013-02-12,14.3298,13.473,18.146,24.2284,103.2523,14.5546,30.6846,,
2013-02-13,14.3617,13.476,18.122,24.2338,103.2745,14.6106,30.693,,
2013-02-14,14.1541,13.341,17.952,24.2392,103.2937,14.5047,30.648,,
2013-02-15,14.1364,13.331,17.898,24.2446,102.9522,14.4666,30.6442,,
2013-02-16,14.1364,13.331,17.898,24.2446,102.9522,14.4666,30.6442,,
2013-02-17,14.1364,13.331,17.898,24.2554,102.9522,14.4666,30.6442,,
2013-02-18,14.1843,13.341,17.922,24.2609,103.0229,14.4915,30.6588,,
2013-02-19,14.2926,13.46,18.097,24.2664,103.0229,14.6114,30.6778,,
2013-02-20,14.2782,13.448,18.132,24.2719,103.0725,14.6159,30.7038,,
2013-02-21,14.0679,13.245,17.884,24.2773,103.0965,14.4163,30.6841,,
2013-02-22,14.0985,13.236,17.921,24.2828,103.1226,14.4423,30.6784,,
2013-02-23,14.0985,13.236,17.921,24.2828,103.1226,14.4423,30.6784,,
2013-02-24,14.0985,13.236,17.921,24.2938,103.1226,14.4423,30.6784,,
2013-02-25,14.0828,13.155,17.799,24.2993,103.1919,14.401,30.8655,,
2013-02-26,13.8873,12.976,17.575,24.3047,103.2097,14.2049,30.8517,,
2013-02-27,13.9873,13.082,17.646,24.3102,103.2322,14.2879,30.8692,,
2013-02-28,13.7174,12.886,17.371,24.3157,103.254,14.1092,30.8823,,
2013-03-01,13.8247,13.013,17.502,24.3212,102.9714,14.238,30.8771,,
2013-03-02,13.8247,13.013,17.502,24.3212,102.9714,14.238,30.8771,,
2013-03-03,13.8247,13.013,17.502,24.3322,102.9714,14.238,30.8771,,
2013-03-04,13.7577,12.918,17.351,24.3377,103.0478,14.1535,30.9006,,
2013-03-05,13.9807,13.037,17.566,24.3433,103.0786,14.3051,30.9255,,
2013-03-06,14.0779,13.079,17.658,24.3489,103.1012,14.3669,30.9339,,
2013-03-07,14.1368,13.14,17.766,24.3546,103.129,14.4921,30.9351,,
2013-03-08,14.2733,13.289,17.871,24.3601,103.1462,14.6971,30.9455,,
2013-03-09,14.2733,13.289,17.871,24.3601,103.1462,14.6971,30.9455,,
2013-03-10,14.2733,13.289,17.871,24.3714,103.1462,14.6971,30.9455,,
2013-03-11,14.2265,13.29,17.933,24.377,103.2199,14.7309,30.9535,,
2013-03-12,14.1646,13.232,17.846,24.3827,103.251,14.69,30.9494,,
2013-03-13,13.9586,13.075,17.662,24.3882,103.2884,14.5384,30.9439,,
2013-03-14,14.1321,13.139,17.694,24.3939,103.34,14.6688,30.9591,,
2013-03-15,14.0574,13.051,17.65,24.3995,102.9975,14.6503,30.9911,,
2013-03-16,14.0574,13.051,17.65,24.3995,102.9975,14.6503,30.9911,,
2013-03-17,14.0574,13.051,17.65,24.4112,102.9975,14.6503,30.9911,,
2013-03-18,13.9688,13.015,17.657,24.4172,103.0355,14.5716,30.9884,,
2013-03-19,13.7101,12.922,17.515,24.423,103.0632,14.3756,30.9834,,
2013-03-20,13.4866,12.69,17.25,24.4287,103.1016,14.1918,30.9819,,
2013-03-21,13.4908,12.627,17.015,24.4344,103.157,14.1287,30.9869,,
2013-03-22,13.4563,12.633,16.993,24.4402,103.1891,14.0638,30.9812,,
2013-03-23,13.4563,12.633,16.993,24.4402,103.1891,14.0638,30.9812,,
2013-03-24,13.4563,12.633,16.993,24.4518,103.1891,14.0638,30.9812,,
2013-03-25,13.4002,12.593,17.005,24.4577,103.2114,14.0211,30.9981,,
2013-03-26,13.4772,12.594,17.039,24.464,103.2285,14.0945,30.9902,,
2013-03-27,13.4772,12.594,17.039,24.4699,103.2285,14.0945,30.9902,,
2013-03-28,13.578,12.715,17.257,24.4795,103.2633,14.1991,31.0136,,
2013-03-29,13.578,12.715,17.257,24.4795,103.2633,14.1991,31.0185,,
2013-03-30,13.578,12.715,17.257,24.4795,103.2633,14.1991,31.0185,,
2013-03-31,13.578,12.715,17.257,24.4795,103.2633,14.1991,31.0185,,
2013-04-01,13.6324,12.833,17.392,24.5163,103.2633,14.231,31.055,,
2013-04-02,13.8124,12.994,17.595,24.5294,103.2626,14.3768,31.0775,,
2013-04-03,13.6549,12.838,17.461,24.5363,103.3274,14.2929,31.0919,,
2013-04-04,13.4167,12.619,17.185,24.5419,103.4096,14.0601,31.0996,,
2013-04-05,13.4782,12.567,17.134,24.548,103.4164,14.0479,31.0949,,
2013-04-06,13.4782,12.567,17.134,24.548,103.4164,14.0479,31.0949,,
2013-04-07,13.4782,12.567,17.134,24.559,103.4164,0.0,31.0949,,
2013-04-08,13.4526,12.561,17.067,24.5645,103.462,14.0224,31.1187,,
2013-04-09,13.3266,12.435,16.971,24.5702,103.4716,13.9389,31.1389,,
2013-04-10,13.4579,12.514,17.044,24.5758,103.4653,13.9826,31.1225,,
2013-04-11,13.5316,12.523,17.074,24.5815,103.4653,14.0994,31.1374,,
2013-04-12,13.3635,12.535,17.051,24.5872,103.5704,14.0426,31.1464,,
2013-04-13,13.3635,12.535,17.051,24.5872,103.5704,14.0426,31.1464,,
2013-04-14,13.3635,12.535,17.051,24.5986,103.5704,14.0426,31.1464,,
2013-04-15,13.4536,12.533,17.154,24.6045,103.6711,13.985,31.1685,,
2013-04-16,13.7055,12.691,17.24,24.6103,103.0719,14.2436,31.1787,,
2013-04-17,13.7107,12.762,17.282,24.6161,103.0866,14.267,31.1958,,
2013-04-18,13.9167,12.866,17.434,24.6219,103.1589,14.4401,31.2408,,
2013-04-19,13.9167,12.866,17.434,24.6219,103.1589,14.4401,31.2458,,
2013-04-20,13.9167,12.866,17.434,24.6219,103.1589,14.4401,31.2458,,
2013-04-21,13.9167,12.866,17.434,24.6392,103.1589,14.4401,31.2458,,
2013-04-22,14.0431,13.043,17.564,24.645,103.216,14.6259,31.2718,,
2013-04-23,13.9829,13.036,17.562,24.6507,103.2481,14.5801,31.2609,,
2013-04-24,13.9829,13.036,17.562,24.6565,103.2481,14.5801,31.2657,,
2013-04-25,14.0593,13.119,17.593,24.6623,103.2947,14.7586,31.3033,,
2013-04-26,14.0531,13.08,17.565,24.6681,103.3139,14.7058,31.3278,,
2013-04-27,14.0531,13.08,17.565,24.6681,103.3139,14.7058,31.3278,,
2013-04-28,14.0531,13.08,17.565,24.6796,103.3139,14.7058,31.3278,,
2013-04-29,14.1084,13.183,17.669,24.6855,103.3845,14.8289,31.3398,,
2013-04-30,14.1086,13.219,17.684,24.6913,103.0655,14.8945,31.3503,,
2013-05-01,14.1086,13.219,17.684,24.6971,103.0655,14.8945,31.3503,,
2013-05-02,14.229,13.292,17.833,24.7029,103.2057,15.1032,31.3834,,
2013-05-03,14.1115,13.23,17.771,24.7088,103.2082,15.0518,31.3656,,
2013-05-04,14.1115,13.23,17.771,24.7088,103.2082,15.0518,31.3656,,
2013-05-05,14.1115,13.23,17.771,24.7203,103.2082,15.0518,31.3656,,
2013-05-06,14.2356,13.319,17.844,24.726,103.2821,15.1497,31.3995,,
2013-05-07,14.3852,13.443,17.962,24.7318,103.3087,15.2704,31.4319,,
2013-05-08,14.3518,13.552,18.002,24.7375,103.3404,15.3597,31.4751,,
2013-05-09,14.2864,13.523,18.001,24.7432,103.3949,15.2634,31.4968,,
2013-05-10,14.3731,13.603,18.062,24.7491,103.4157,15.3358,31.4982,,
2013-05-11,14.3731,13.603,18.062,24.7491,103.4157,15.3358,31.4982,,
2013-05-12,14.3731,13.603,18.062,24.7604,103.4157,15.3358,31.4982,,
2013-05-13,14.1432,13.439,17.936,24.7661,103.4824,15.1284,31.4879,,
2013-05-14,14.2231,13.459,17.955,24.7718,103.5159,15.2336,31.5705,,
2013-05-15,14.5276,13.667,18.24,24.7776,103.113,15.5617,31.5899,,
2013-05-16,14.5877,13.709,18.322,24.7833,103.141,15.5917,31.5827,,
2013-05-17,14.6518,13.701,18.408,24.7891,103.1745,15.6811,31.5851,,
2013-05-18,14.6518,13.701,18.408,24.7891,103.1745,15.6811,31.5851,,
2013-05-19,14.6518,13.701,18.408,24.8004,103.1745,15.6811,31.5851,,
2013-05-20,14.5075,13.617,18.296,24.8061,103.2356,15.5963,31.5989,,
2013-05-21,14.395,13.537,18.096,24.8118,103.2444,15.4753,31.5881,,
2013-05-22,14.2804,13.444,18.006,24.8174,103.2698,15.4089,31.5981,,
2013-05-23,13.9275,13.227,17.752,24.823,103.2705,15.2194,31.6113,,
2013-05-24,13.9741,13.287,17.866,24.8285,103.2834,15.3594,31.6135,,
2013-05-25,13.9741,13.287,17.866,24.8285,103.2834,15.3594,31.6135,,
2013-05-26,13.9741,13.287,17.866,24.8398,103.2834,15.3594,31.6135,,
2013-05-27,14.1468,13.423,18.043,24.8455,103.349,15.508,31.6336,,
2013-05-28,14.2241,13.512,18.088,24.8511,103.3617,15.5632,31.6184,9.9992,
2013-05-29,14.1521,13.486,18.097,24.8568,103.0877,15.5996,31.6166,10.008,
2013-05-30,14.1108,13.482,18.071,24.8624,103.1152,15.6604,31.6382,10.0327,
2013-05-31,13.9164,13.328,17.963,24.8679,103.1296,15.4335,31.6046,10.0154,
2013-06-01,13.9164,13.328,17.963,24.8679,103.1296,15.4335,31.6046,10.0154,
2013-06-02,13.9164,13.328,17.963,24.8791,103.1296,15.4335,31.6046,10.0154,
2013-06-03,13.8393,13.31,18.057,24.8847,103.1984,15.2578,31.5998,10.0572,
2013-06-04,13.8528,13.327,18.042,24.8903,103.225,15.2142,31.6364,10.0339,
2013-06-05,13.8796,13.307,18.039,24.8958,103.2598,15.2456,31.6295,10.0273,
2013-06-06,13.8693,13.322,18.064,24.9014,103.2957,15.2391,31.6568,10.0328,
2013-06-07,13.7436,13.275,17.924,24.907,103.3194,15.2015,31.6497,10.0235,
2013-06-08,13.7436,13.275,17.924,24.907,103.3194,15.2015,31.6497,10.0235,
2013-06-09,13.7436,13.275,17.924,24.9182,103.3194,15.2015,31.6497,10.0235,
2013-06-10,13.6318,13.13,17.805,24.9237,103.3704,15.1368,31.6326,9.9957,
2013-06-11,13.3795,12.971,17.552,24.9292,103.3832,14.9065,31.5828,9.954,
